name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Roosevelt County 065,22720,Valid,H5,405.8,Found,1971,33.61667,-103.45,"(33.61667, -103.45)"
Salaices,23105,Valid,H4,24500,Found,1971,27,-105.25,"(27.0, -105.25)"
Sanclerlandia,23132,Valid,Iron: IIIAB,279000,Found,1971,-16.21667,-50.3,"(-16.21667, -50.3)"
South Plains,23680,Valid,L5,4763,Found,1971,34.26667,-101.25,"(34.26667, -101.25)"
St. Vrain,23095,Valid,OC,45.5,Found,1971,34.31833,-103.47167,"(34.31833, -103.47167)"
Tobychan,24015,Valid,Iron: IIE,52100,Found,1971,,,
West Forrest,24245,Valid,H5,170.6,Found,1971,-30.75,127.98333,"(-30.75, 127.98333)"
Wichita,24256,Valid,H6,2367,Found,1971,37.59183,-97.21497,"(37.59183, -97.21497)"
Willowbar,24278,Valid,L6,2070,Found,1971,36.73333,-102.2,"(36.73333, -102.2)"
Yongning,30365,Valid,Iron: IAB-ung,60000,Found,1971,22.75,108.33333,"(22.75, 108.33333)"
Guibga,11442,Valid,L5,288,Fell,1972,13.5,-0.68333,"(13.5, -0.68333)"
Ipiranga,12043,Valid,H6,7000,Fell,1972,-25.5,-54.5,"(-25.5, -54.5)"
Valera,24149,Valid,L5,50000,Fell,1972,9.31667,-70.62833,"(9.31667, -70.62833)"
Adelaide,377,Valid,C2-ung,2031,Found,1972,,,
Anson,2308,Valid,L6,3900,Found,1972,39.33333,-97.56167,"(39.33333, -97.56167)"
Arch,2327,Valid,CV3,985.8,Found,1972,34.15,-103.22,"(34.15, -103.22)"
Bowesmont (b),5125,Valid,L5,1300,Found,1972,48.78333,-97.35,"(48.78333, -97.35)"
Commodore,5416,Valid,H6,304.3,Found,1972,-31.2,138.3,"(-31.2, 138.3)"
Delaware,6640,Valid,L4,8346,Found,1972,35.28333,-93.5,"(35.28333, -93.5)"
Dor el Gani,7711,Valid,Iron: IIIAB,2575,Found,1972,26.95833,16.03333,"(26.95833, 16.03333)"
El Mirage,7809,Valid,Iron: IIAB,598,Found,1972,33.68333,-112.26667,"(33.68333, -112.26667)"
Flagler,30564,Valid,H3.8,4100,Found,1972,39.23,-102.99,"(39.23, -102.99)"
Happy (b),11819,Valid,OC,2505,Found,1972,34.59333,-101.99333,"(34.59333, -101.99333)"
Hardtner,11827,Valid,L6,13000,Found,1972,37.06667,-98.66167,"(37.06667, -98.66167)"
Kenna,12277,Valid,Ureilite,10900,Found,1972,33.9,-103.55333,"(33.9, -103.55333)"
Kenna (b),12278,Valid,L5,453,Found,1972,33.70833,-103.76667,"(33.70833, -103.76667)"
Kifkakhsyagan,12304,Valid,Iron: IIIAB,18800,Found,1972,64.4,172.7,"(64.4, 172.7)"
Lider (a),14648,Valid,L5,2160,Found,1972,34.655,-101.64,"(34.655, -101.64)"
Lider (b),14649,Valid,H5,1800,Found,1972,34.655,-101.64,"(34.655, -101.64)"
Mayfield,15450,Valid,H4,38400,Found,1972,37.30833,-97.545,"(37.30833, -97.545)"
Motpena (b),16761,Valid,Chondrite-ung,304,Found,1972,-31.2,138.3,"(-31.2, 138.3)"
Mount Margaret,16781,Valid,L5,850,Found,1972,-28.83333,122.18333,"(-28.83333, 122.18333)"
Muleshoe,16846,Valid,H4/6,3600,Found,1972,34.12167,-102.695,"(34.12167, -102.695)"
Mundrabilla 003,16854,Valid,H3,235,Found,1972,-30.85,127.53333,"(-30.85, 127.53333)"
New Moore (a),16958,Valid,OC,100.3,Found,1972,33.11667,-102.11667,"(33.11667, -102.11667)"
Northbranch,17010,Valid,H5,76000,Found,1972,39.99167,-98.34167,"(39.99167, -98.34167)"
Oldfield River,18010,Valid,H5,150,Found,1972,-33,121,"(-33.0, 121.0)"
Raguli,22373,Valid,H3.8,4239,Found,1972,45.7,43.7,"(45.7, 43.7)"
Roosevelt,22655,Valid,H3.4,5200,Found,1972,34.86667,-98.95,"(34.86667, -98.95)"
Roosevelt County 056,22711,Valid,H5,10.3,Found,1972,34.41667,-103.58333,"(34.41667, -103.58333)"
Watson 001,24221,Valid,Iron: IIE,93000,Found,1972,-30.5,131.55,"(-30.5, 131.55)"
West Point,24246,Valid,L6,3100,Found,1972,33.075,-102.045,"(33.075, -102.045)"
Canon City,5253,Valid,H6,1400,Fell,1973,38.47028,-105.24139,"(38.47028, -105.24139)"
Lichtenberg,14646,Valid,H6,4000,Fell,1973,-26.15,26.18333,"(-26.15, 26.18333)"
Natal,16923,Valid,Stone-uncl,1.4,Fell,1973,,,
San Juan Capistrano,23128,Valid,H6,56,Fell,1973,33.48472,-117.6625,"(33.48472, -117.6625)"
Alkhamasin,475,Valid,Iron: IIAB,1200000,Found,1973,20.6,44.88333,"(20.6, 44.88333)"
Araslanovo,2324,Valid,L/LL5,132000,Found,1973,55.14167,48.2,"(55.14167, 48.2)"
Colonia Obrera,5405,Valid,Iron: IIIE,12200,Found,1973,24.01667,-104.66667,"(24.01667, -104.66667)"
El Sampal,7817,Valid,Iron: IIIAB,142000,Found,1973,-44.53333,-70.36667,"(-44.53333, -70.36667)"
Kinclaven 001,12313,Valid,L5,17.3,Found,1973,-30.46667,125.7,"(-30.46667, 125.7)"
Kumdah,12374,Valid,Iron,,Found,1973,20.38333,45.08333,"(20.38333, 45.08333)"
Lueders,14750,Valid,Iron: IAB-MG,35400,Found,1973,32.83611,-99.60417,"(32.83611, -99.60417)"
Nullagine,17940,Valid,H5,102,Found,1973,-21.86667,120.11667,"(-21.86667, 120.11667)"
Nurina 001,17961,Valid,H4,2.7,Found,1973,-30.66667,126.4,"(-30.66667, 126.4)"
Puerto Libertad,18897,Valid,L,66,Found,1973,29.9,-112.68333,"(29.9, -112.68333)"
Roosevelt County 002,22657,Valid,L6,18.2,Found,1973,33.71667,-103.65,"(33.71667, -103.65)"
Roosevelt County 057,22712,Valid,L5,7.7,Found,1973,34.21667,-103.28333,"(34.21667, -103.28333)"
Wayside,24225,Valid,H6,23600,Found,1973,34.80167,-101.68333,"(34.80167, -101.68333)"
Wellman (e),24241,Valid,H4,959,Found,1973,33.67833,-102.315,"(33.67833, -102.315)"
Yamato 7301,24367,Valid,H5/6,650,Found,1973,-71.83333,35.5,"(-71.83333, 35.5)"
Yamato 7302,24368,Valid,H4,11,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7303,24369,Valid,H4,3.5,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7304,24370,Valid,L6,500,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7305,24371,Valid,L6,900,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7306,24372,Valid,H6,4.8,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7307,24373,Valid,LL6,18.1,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7308,24374,Valid,Howardite,480,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7309,24375,Valid,L5/6,9,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7310,24376,Valid,H4,7,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7311,24377,Valid,H6,20.3,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 7312,24378,Valid,H5,39.8,Found,1973,-71.5,35.66667,"(-71.5, 35.66667)"
Zerga,30402,Valid,LL6,76,Found,1973,20.25,-12.68333,"(20.25, -12.68333)"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974,16.39806,-9.57028,"(16.39806, -9.57028)"
Enshi,10038,Valid,H5,8000,Fell,1974,30.3,109.5,"(30.3, 109.5)"
Gorlovka,10949,Valid,H3.7,3618,Fell,1974,48.28333,38.08333,"(48.28333, 38.08333)"
Jolomba,12199,Valid,LL6,483,Fell,1974,-11.85,15.83333,"(-11.85, 15.83333)"
Mayo Belwa,15451,Valid,Aubrite,4850,Fell,1974,8.96667,12.08333,"(8.96667, 12.08333)"
Naragh,16909,Valid,H6,2700,Fell,1974,33.75,51.5,"(33.75, 51.5)"
Stratford,23728,Valid,L6,50,Fell,1974,41.2,-73.13333,"(41.2, -73.13333)"
Balsas,4932,Valid,Iron: IIIAB,41000,Found,1974,-7.53133,-46.04117,"(-7.53133, -46.04117)"
Blaine Lake,5070,Valid,L6,1896.4,Found,1974,52.77,-106.89667,"(52.77, -106.89667)"
Brachina,5127,Valid,Brachinite,202.9,Found,1974,-31.3,138.38333,"(-31.3, 138.38333)"
Brownfield (c),5153,Valid,OC,1550,Found,1974,33.135,-102.27833,"(33.135, -102.27833)"
Danebury,5512,Valid,H6,30,Found,1974,51.13889,-1.53611,"(51.13889, -1.53611)"
Fairfield,10069,Valid,Iron: IAB-MG,1600,Found,1974,39.33333,-84.6,"(39.33333, -84.6)"
Fitzwater Pass,51738,Valid,Iron: IIIF,65.4,Found,1974,42.03839,-120.58942,"(42.03839, -120.58942)"
Forrest Lakes 002,10162,Valid,H5,52,Found,1974,-29.58333,128.91667,"(-29.58333, 128.91667)"
Gomez,10944,Valid,L6,47000,Found,1974,33.18139,-102.40139,"(33.18139, -102.40139)"
Hickiwan,11881,Valid,H5,1928,Found,1974,32.35833,-112.40889,"(32.35833, -112.40889)"
Maralinga,15412,Valid,CK4-an,3388,Found,1974,-30.3,131.26667,"(-30.3, 131.26667)"
Orimattila,18028,Valid,H4,1872,Found,1974,60.58333,25.58333,"(60.58333, 25.58333)"
Rabbit Flat,22367,Valid,H6,295,Found,1974,-20.36667,130.11667,"(-20.36667, 130.11667)"
Reid 002,22557,Valid,L6,66.5,Found,1974,-30.06667,128.96667,"(-30.06667, 128.96667)"
Reid 003,22558,Valid,L5,128.7,Found,1974,-30.06667,128.96667,"(-30.06667, 128.96667)"
Rogers,22645,Valid,L,982,Found,1974,34.065,-103.40833,"(34.065, -103.40833)"
Roosevelt County 086,22741,Valid,L6,9,Found,1974,34.28333,-103.28333,"(34.28333, -103.28333)"
Saint Augustine,23080,Valid,Iron: IID,22000,Found,1974,40.71667,-90.41667,"(40.71667, -90.41667)"
Thackaringa,23907,Valid,H5,438.6,Found,1974,-32.11667,141.08333,"(-32.11667, 141.08333)"
Tokio (a),24016,Valid,H5,6600,Found,1974,33.21667,-102.63167,"(33.21667, -102.63167)"
Tokio (b),24017,Valid,OC,823,Found,1974,33.205,-102.65833,"(33.205, -102.65833)"
Yamato 74001,24379,Valid,H5,246.1,Found,1974,-71.83611,36.27222,"(-71.83611, 36.27222)"
Yamato 74002,24380,Valid,LL4,69.7,Found,1974,-71.82556,36.25556,"(-71.82556, 36.25556)"
Yamato 74003,24381,Valid,L6,15.5,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74004,24382,Valid,H5,8.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74005,24383,Valid,Diogenite,3.7,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74006,24384,Valid,H6,35.8,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74007,24385,Valid,L6,162.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74008,24386,Valid,H,14.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74009,24387,Valid,L5,9,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74010,24388,Valid,Diogenite,298.5,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74011,24389,Valid,Diogenite,206,Found,1974,-71.83278,36.29167,"(-71.83278, 36.29167)"
Yamato 74012,24390,Valid,H5,75.4,Found,1974,-71.83667,36.29861,"(-71.83667, 36.29861)"
Yamato 74013,24391,Valid,Diogenite,2059.5,Found,1974,-71.83667,36.30417,"(-71.83667, 36.30417)"
Yamato 74014,24392,Valid,H6,2367.9,Found,1974,-71.83556,36.30278,"(-71.83556, 36.30278)"
Yamato 74015,24393,Valid,L6,88,Found,1974,-71.80389,36.23472,"(-71.80389, 36.23472)"
Yamato 74016,24394,Valid,H6,11.5,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74017,24395,Valid,H6,3.23,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74018,24396,Valid,LL6,5.25,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74019,24397,Valid,H4,6.02,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74020,24398,Valid,L5,0.56,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74021,24399,Valid,H5,39.3,Found,1974,-71.79389,36.18194,"(-71.79389, 36.18194)"
Yamato 74022,24400,Valid,LL5,34.7,Found,1974,-71.84861,36.31806,"(-71.84861, 36.31806)"
Yamato 74023,24401,Valid,L6,6.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74024,24402,Valid,L3.7,50,Found,1974,-71.82444,36.25556,"(-71.82444, 36.25556)"
Yamato 74025,24403,Valid,Winonaite,14,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74026,24404,Valid,H6,5.24,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74027,24405,Valid,L6,35.7,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74028,24406,Valid,L6,90.2,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74029,24407,Valid,H4,4.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74030,24408,Valid,L6,7.82,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74031,24409,Valid,Diogenite,6.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74032,24410,Valid,H4,14.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74033,24411,Valid,L3,2.9,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74034,24412,Valid,H4,27.6,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74035,24413,Valid,L6,115.7,Found,1974,-71.80167,36.14306,"(-71.80167, 36.14306)"
Yamato 74036,24414,Valid,L6,201.4,Found,1974,-71.815,36.19306,"(-71.815, 36.19306)"
Yamato 74037,24415,Valid,Diogenite,591.9,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74038,24416,Valid,H5,208.9,Found,1974,-71.825,36.24028,"(-71.825, 36.24028)"
Yamato 74039,24417,Valid,L6,47.6,Found,1974,-71.8275,36.24444,"(-71.8275, 36.24444)"
Yamato 74040,24418,Valid,L6,35.17,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74041,24419,Valid,H5,1.79,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74042,24420,Valid,H4,3.85,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74043,24421,Valid,H4,5.19,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74044,24422,Valid,Pallasite: PMG,51.8,Found,1974,-71.79333,36.1875,"(-71.79333, 36.1875)"
Yamato 74045,24423,Valid,L6,39.82,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74046,24424,Valid,L6,2.22,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74047,24425,Valid,L4,2.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74048,24426,Valid,LL6,67.1,Found,1974,-71.80417,36.29167,"(-71.80417, 36.29167)"
Yamato 74049,24427,Valid,H4,13.12,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74050,24428,Valid,H4,18.88,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74051,24429,Valid,H4,20.93,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74052,24430,Valid,H4,58.18,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74053,24431,Valid,H4,88.48,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74054,24432,Valid,H4,134.9,Found,1974,-71.80417,36.29167,"(-71.80417, 36.29167)"
Yamato 74055,24433,Valid,H4,13.04,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74056,24434,Valid,H4,19.14,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74057,24435,Valid,H4,16.32,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74058,24436,Valid,H4,19.72,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74059,24437,Valid,H4,16.37,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74060,24438,Valid,H4,17.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74061,24439,Valid,H4,9.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74062,24440,Valid,H4,10.46,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74063,24441,Valid,Acapulcoite,35.41,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74064,24442,Valid,H5,2,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74065,24443,Valid,L6,12.1,Found,1974,-71.79972,36.29028,"(-71.79972, 36.29028)"
Yamato 74066,24444,Valid,L6,12.4,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74067,24445,Valid,H6,4,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74068,24446,Valid,H5,5.41,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74069,24447,Valid,H6,18.57,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74070,24448,Valid,H5,58.7,Found,1974,-71.81167,36.4125,"(-71.81167, 36.4125)"
Yamato 74071,24449,Valid,H4,17.55,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74072,24450,Valid,H5,29,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74073,24451,Valid,H5,29.9,Found,1974,-71.81583,36.425,"(-71.81583, 36.425)"
Yamato 74074,24452,Valid,H5,54.2,Found,1974,-71.81694,36.42222,"(-71.81694, 36.42222)"
Yamato 74075,24453,Valid,H6,5.05,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74076,24454,Valid,L6,20.36,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74077,24455,Valid,L6,5575.1,Found,1974,-71.83556,36.35833,"(-71.83556, 36.35833)"
Yamato 74078,24456,Valid,H4,15.88,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74079,24457,Valid,H5,620.8,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74080,24458,Valid,L6,536.9,Found,1974,-71.81944,36.19861,"(-71.81944, 36.19861)"
Yamato 74081,24459,Valid,H4,102.5,Found,1974,-71.80528,36.175,"(-71.80528, 36.175)"
Yamato 74082,24460,Valid,H4,179.8,Found,1974,-71.80472,36.18056,"(-71.80472, 36.18056)"
Yamato 74083,24461,Valid,H4,3.31,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74084,24462,Valid,L6,2.26,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74085,24463,Valid,H4,30.5,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74086,24464,Valid,H5,0.97,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74087,24465,Valid,L6,0.78,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74088,24466,Valid,H4,14.28,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
